,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
39,MOFFusion_uncond_snw+N92+E16,0.3583984375,6.5625,2.2437823399605192,0.07867431640625,0.058360226,0.29052734375,0.4512552995,1.1552734375,0.205078125,0.2011136693,4.078125,4.68576708,3.990234375,5.11900955,2.3125,2.58645561,0.192138671875,0.3928950734999999,MOFFusion_uncond
43,MOFFusion_text_lta+N650+E51,-0.4580078125,3.5859375,4.488823934682844,0.048095703125,0.0180967957,0.1187744140625,0.4101154915,-1.4228515625,0.22509765625,0.091363684,2.279296875,3.78516011,2.6015625,6.306528849999999,1.3115234375,1.26497203,0.09466552734375,0.3920186958,MOFFusion_text
8,MOFFusion_pore_bor-e+N482+E63,,,2.5961132228726305,,0.0914845174,,0.4829659444,,,0.1860342377,,6.66321484,,5.67438341,,1.98169957,,0.391481427,MOFFusion_pore
46,MOFFusion_h2_svd+N583+E13,-0.2117919921875,5.0390625,2.398105778247647,0.0654296875,0.0599793787,0.20263671875,0.448601161,0.47021484375,0.1634521484375,0.187064793,3.462890625,4.8834631,4.05078125,5.4283353000000005,2.1484375,2.44740302,0.1280517578125,0.3886217823,MOFFusion_h2
26,MOFFusion_pore_pcu+N400+E184,,11.25,3.793625242260656,0.09454345703125,0.0507772313,0.6328125,0.4288947073,,0.232666015625,0.1130566885,4.74609375,5.56210121,4.98828125,5.84034979,3.029296875,2.86143945,0.64794921875,0.378117476,MOFFusion_pore
9,MOFFusion_uncond_ecu+N542+E150,-1.2744140625,7.75390625,1.3029433961586117,0.10479736328125,0.0735502553,0.55224609375,0.4377013467,0.8779296875,0.278076171875,0.3359327412,4.56640625,4.31231524,4.46484375,5.017073659999999,2.51953125,2.4601226,0.352783203125,0.3641510914,MOFFusion_uncond
53,MOFFusion_h2_ukf+N164+E134,,4.17578125,1.3201814056083312,0.080322265625,0.0641450139,0.272216796875,0.4158711256,,0.2308349609375,0.3150105916,2.984375,4.11008778,3.3203125,4.82141392,1.77734375,2.00423966,0.12371826171875,0.3517261117,MOFFusion_h2
10,MOFFusion_text_lta+N308+E120,-0.4814453125,3.29296875,3.6203915332096175,0.07830810546875,0.6503390304,0.1953125,0.9647048679,-1.564453125,0.272216796875,0.2664642371,2.232421875,-3052.69642282,2.578125,4038.27963011,1.3603515625,289.92543406999994,0.12164306640625,0.3143658375,MOFFusion_text
78,MOFFusion_uncond_wli+N300+E122,-0.60400390625,4.62890625,1.5590577308212714,0.08148193359375,0.0541128901,0.224365234375,0.3596555453,0.41845703125,0.240478515625,0.2306877662,3.169921875,3.95454897,3.47265625,4.925749369999999,1.8173828125,1.71672744,0.1278076171875,0.3055426552,MOFFusion_uncond
89,MOFFusion_pore_vmq+N599+E50,,9.0859375,1.968019784527932,0.06292724609375,0.0494600712,0.392333984375,0.3509809544,,0.1649169921875,0.178342188,4.47265625,4.79213403,4.84765625,5.0652943,2.76953125,2.85082785,0.2105712890625,0.3015208832,MOFFusion_pore
47,MOFFusion_h2_svn+N583+E15,-0.09478759765625,8.7421875,1.7503248375661369,0.06646728515625,0.05439904,0.411376953125,0.3470440761,0.54736328125,0.166259765625,0.1982740967,4.91015625,4.53491745,4.87109375,4.83561052,2.61328125,2.63247506,0.270751953125,0.2926450361,MOFFusion_h2
34,MOFFusion_uncond_smb+N589+E150,-1.5341796875,5.30078125,1.2302744920150634,0.08489990234375,0.0587077985,0.35302734375,0.3260124094,0.2705078125,0.2406005859375,0.2649916027,3.20703125,4.18775561,3.87890625,4.77027031,2.087890625,2.1400777,0.18701171875,0.2673046108999999,MOFFusion_uncond
37,MOFFusion_pore_scu+N103+N439+E0,,9.8828125,1.781338705668435,0.0838623046875,0.0440565832,0.398193359375,0.3101978897,,0.2197265625,0.1741375117,4.625,4.8029679,5.02734375,5.172287429999999,2.66796875,2.8595155,0.254150390625,0.2661413065,MOFFusion_pore
85,MOFFusion_h2_zfu+N651+E95,-0.40771484375,6.73828125,1.6901223778503496,0.099853515625,0.0431613676,0.3017578125,0.3087974254,0.69384765625,0.1756591796875,0.1827071397,4.19140625,4.31586439,4.375,5.16757674,2.322265625,2.22847663,0.2025146484375,0.2656360578,MOFFusion_h2
35,MOFFusion_pore_reo+N103+E0,,7.015625,1.4856370397279408,0.074462890625,0.0538754042,0.427978515625,0.3075795803,,0.2255859375,0.2070354818,4.41015625,4.91992255,4.3828125,5.18154629,2.462890625,2.79740179,0.287841796875,0.2537041761,MOFFusion_pore
64,MOFFusion_uncond_vmr+N446+E116,-1.1064453125,5.47265625,1.212461890410511,0.0660400390625,0.0563186625,0.236083984375,0.3057642063,0.54736328125,0.2021484375,0.2521845913,3.451171875,4.0332301600000005,3.97265625,4.51460484,2.087890625,2.27888412,0.1448974609375,0.2494455438,MOFFusion_uncond
2,MOFFusion_pore_bmn+N364+E181,,,0.9015899782207109,,0.0614329497,,0.3029154339,,,0.3359791493,,3.15033548,,4.34823455,,1.47758882,,0.2414824841999999,MOFFusion_pore
39,MOFFusion_pore_scu+N369+N648+E186,,7.1640625,1.3957131082598009,0.059234619140625,0.0509974663,0.2230224609375,0.2890805036,,0.1851806640625,0.2071202899,3.849609375,4.34194168,4.17578125,4.991849599999999,2.11328125,2.36943166,0.12939453125,0.2380830372999999,MOFFusion_pore
70,MOFFusion_h2_wfu+N284+E15,-0.50634765625,8.6796875,1.2758481015083174,0.11712646484375,0.0471700133,0.77587890625,0.2727374929,0.408935546875,0.225830078125,0.2137695644,5.25,4.330625029999999,5.02734375,4.5722134,2.8046875,2.55070121,0.76904296875,0.2255674795999999,MOFFusion_h2
4,MOFFusion_text_lta+N233+E149,-0.8994140625,4.1015625,1.1323415976018922,0.07879638671875,0.0484152655,0.1817626953125,0.2696559722,-0.70703125,0.25830078125,0.2381401273,2.94921875,3.84752716,3.3125,5.02832578,1.5419921875,1.81268355,0.1009521484375,0.2212407066999999,MOFFusion_text
90,MOFFusion_pore_whs+N179+E202,,5.7890625,1.5142807384911536,0.06890869140625,0.0398460709,0.1790771484375,0.2575922579,,0.1529541015625,0.1701086538,3.34375,4.17097542,3.755859375,4.78619727,1.89453125,2.12916018,0.12127685546875,0.217746187,MOFFusion_pore
66,MOFFusion_pore_unc+N172+E184,,5.0625,1.2646536410832288,0.0802001953125,0.0440313463,0.296875,0.2596299672,,0.217529296875,0.2052972915,3.830078125,4.15112647,3.947265625,4.60487992,2.234375,2.16716596,0.2138671875,0.2155986208999999,MOFFusion_pore
37,MOFFusion_uncond_smm+N598+E158,0.133056640625,5.99609375,1.0927680795199368,0.0880126953125,0.0477283904,0.29150390625,0.2622517952,0.300537109375,0.2149658203125,0.239988521,3.921875,3.90098429,4.078125,4.20842911,2.029296875,2.28514592,0.16162109375,0.2145234048,MOFFusion_uncond
68,MOFFusion_pore_unc+N92+E37,,4.5234375,1.700688072953926,0.049285888671875,0.0385573981,0.182861328125,0.2443616297,,0.1942138671875,0.1436839792,2.984375,3.93864352,3.138671875,4.57856602,1.6826171875,1.7409238,0.0770263671875,0.2058042316,MOFFusion_pore
33,MOFFusion_uncond_sma+N508+E160,-0.1697998046875,4.61328125,1.0558912389297423,0.07635498046875,0.0504765063,0.290283203125,0.2561384965,0.33984375,0.2137451171875,0.2425803786,3.36328125,3.72396894,3.759765625,4.097406439999999,1.9228515625,2.20805169,0.1617431640625,0.2056619901999999,MOFFusion_uncond
12,MOFFusion_h2_cab+N446+E70,-0.23828125,4.35546875,1.6174688051052997,0.059356689453125,0.0356551168,0.184814453125,0.2382433947,0.1722412109375,0.1778564453125,0.1472939657,2.728515625,4.702810169999999,3.244140625,5.2833818,1.65234375,2.05020414,0.1024169921875,0.2025882779,MOFFusion_h2
97,MOFFusion_pore_zfh+N172+E76,,9.890625,1.3951219509467585,0.0823974609375,0.0419786917,0.416015625,0.2445194672,,0.18896484375,0.1752674503,4.7890625,4.08654628,4.55078125,4.69692121,2.3515625,2.33051529,0.28759765625,0.2025407755,MOFFusion_pore
11,MOFFusion_uncond_fnh+N172+E63,,,1.3216499759899871,,0.0438193465,,0.2459652029,,,0.1861046475,,4.05524684,,4.33867216,,2.23693006,,0.2021458564,MOFFusion_uncond
24,MOFFusion_h2_fns+N583+E11,,3.513671875,0.9062168843205642,0.073974609375,0.0487100374,0.175048828125,0.2459952774,,0.261962890625,0.271452984,2.4765625,3.51571151,3.25,4.00646216,1.365234375,1.77128636,0.1104736328125,0.1972852399999999,MOFFusion_h2
20,MOFFusion_text_lta+N504+E95,,,1.263937426926317,,0.0349721399,,0.2315722776,,,0.1832149857,,3.66735701,,4.64029972,,1.84725968,,0.1966001376999999,MOFFusion_text
10,MOFFusion_uncond_fnh+N172+E175,-0.263671875,5.578125,1.4005139496983707,0.06622314453125,0.0389883648,0.305908203125,0.2351010725,0.7548828125,0.170166015625,0.1678677121,3.783203125,3.98385276,3.9453125,4.43830648,2.08203125,2.20689971,0.1917724609375,0.1961127077,MOFFusion_uncond
2,MOFFusion_h2_bcu-g+N583+E25,-0.367431640625,4.69921875,1.2375715923814614,0.06793212890625,0.0367630303,0.1998291015625,0.22722413,0.869140625,0.2139892578125,0.1836048366,3.4140625,3.82179881,3.56640625,4.72655482,1.8388671875,1.96838727,0.129150390625,0.1904610997,MOFFusion_h2
89,MOFFusion_uncond_yfj+N671+E195,-0.448974609375,4.390625,0.9895976448575684,0.08551025390625,0.048826035,0.270263671875,0.2392428264,-0.247314453125,0.254150390625,0.2417576756,3.431640625,3.57052138,3.529296875,4.18062863,1.87890625,1.88506231,0.151611328125,0.1904167914,MOFFusion_uncond
41,MOFFusion_text_lta+N650+E162,,,1.8789548248267127,,0.0231136404,,0.2051357064,,,0.1091754329,,3.5311987099999995,,5.201118,,1.22680851,,0.182022066,MOFFusion_text
63,MOFFusion_h2_uov+N300+E182,-0.408935546875,4.046875,1.5609059380537584,0.054962158203125,0.0314228813,0.1292724609375,0.209943268,0.230224609375,0.1820068359375,0.1345009093,2.896484375,3.9019379,3.2421875,4.88765994,1.611328125,1.7365644399999998,0.08123779296875,0.1785203866999999,MOFFusion_h2
63,MOFFusion_pore_umh+N364+E19,,4.91015625,0.8941947563926584,0.06610107421875,0.041316051,0.333740234375,0.2196112917,,0.2222900390625,0.2455967116,3.3203125,3.5233141,3.744140625,4.21277652,1.8896484375,2.00547529,0.195068359375,0.1782952407,MOFFusion_pore
6,MOFFusion_text_lta+N233+E76,-1.1630859375,3.962890625,0.9388034186667282,0.0782470703125,0.0397252871,0.2041015625,0.2167264341,-0.671875,0.25927734375,0.2308539038,2.689453125,3.35836108,3.45703125,4.2433016,1.5595703125,1.69064059,0.10723876953125,0.177001147,MOFFusion_text
11,MOFFusion_h2_cab+N446+E13,0.197509765625,4.58203125,1.452173913470838,0.057037353515625,0.0281903821,0.155517578125,0.2038808345,-0.06695556640625,0.1904296875,0.1403969818,2.6640625,4.033218209999999,3.126953125,5.28148175,1.5908203125,1.77944343,0.085205078125,0.1756904524,MOFFusion_h2
38,MOFFusion_uncond_snl+N162+E15,-0.64892578125,4.5,0.7685770156079875,0.0667724609375,0.0490602049,0.2257080078125,0.2209547085,0.943359375,0.2496337890625,0.2874854491,3.03515625,3.33280959,3.580078125,3.67896046,2.015625,1.93286231,0.127685546875,0.1718945036,MOFFusion_uncond
25,MOFFusion_pore_noz+N482+E211,,6.23828125,0.837140019928197,0.09442138671875,0.0435667488,0.333251953125,0.2127032969,,0.2197265625,0.2540832977,3.94140625,3.58555209,4.35546875,4.02658357,2.15234375,2.16809328,0.224853515625,0.1691365481,MOFFusion_pore
38,MOFFusion_pore_scu+N103+N439+E27,,5.66015625,1.1804195804163382,0.0738525390625,0.0353541724,0.1956787109375,0.2036786448,,0.2274169921875,0.1725476671,3.365234375,4.02812751,3.712890625,4.990458619999999,1.95703125,2.01795109,0.0938720703125,0.1683244724,MOFFusion_pore
71,MOFFusion_pore_uoq+N691+E149,,4.359375,1.222362602828382,0.06640625,0.0364657434,0.1800537109375,0.196139579,,0.2188720703125,0.1604594075,2.63671875,3.73869612,3.2421875,4.58329344,1.47265625,1.3943522899999998,0.0860595703125,0.1596738356,MOFFusion_pore
102,MOFFusion_pore_zfs+N242+E139,,5.125,1.0350911589319636,0.0732421875,0.0348517628,0.18359375,0.1841093625,,0.175048828125,0.1778677761,3.6875,4.02722409,4.265625,4.38133605,2.0234375,2.39782486,0.168212890625,0.1492575997,MOFFusion_pore
45,MOFFusion_uncond_ttw+N300+E0,0.0205535888671875,4.26171875,1.924476295908751,0.0545654296875,0.0222622608,0.1834716796875,0.167856485,-0.486083984375,0.169921875,0.0872219031,2.81640625,4.48922304,3.458984375,5.011024569999999,1.7666015625,1.95001773,0.11822509765625,0.1455942242,MOFFusion_uncond
5,MOFFusion_text_lta+N233+E162,,,0.8442367601603775,,0.034546532,,0.1764771003,,,0.2090374509,,3.46120517,,4.42403101,,2.00069051,,0.1419305683,MOFFusion_text
52,MOFFusion_uncond_unm+N76+E150,-0.267822265625,3.765625,0.5596548644930014,0.095947265625,0.0505907402,0.274658203125,0.1914711919,-0.10992431640625,0.296630859375,0.3421236981,2.97265625,2.75163329,3.287109375,3.19579328,1.7294921875,1.56088032,0.1634521484375,0.1408804517,MOFFusion_uncond
94,MOFFusion_uncond_zfu+N254+E69,-0.65673828125,7.8359375,1.0876783395683252,0.08599853515625,0.0378730087,0.3427734375,0.1764461396,0.56005859375,0.1658935546875,0.1622227208,4.30859375,3.82818967,4.453125,4.20303966,2.34765625,2.27804045,0.2158203125,0.1385731309,MOFFusion_uncond
54,MOFFusion_uncond_uol+N387+E38,0.08355712890625,3.6640625,0.9022988505383056,0.061126708984375,0.033492536,0.164794921875,0.1709208002,-1.0517578125,0.299072265625,0.189428148,2.275390625,2.52554646,2.314453125,3.89377844,1.3125,0.97172859,0.10064697265625,0.1374282641999999,MOFFusion_uncond
3,MOFFusion_text_lta+N233+E132,-0.33203125,3.287109375,0.7639101938424306,0.064697265625,0.0350551213,0.144775390625,0.1664055066,-0.7783203125,0.247314453125,0.2178338605,2.337890625,2.94182471,2.7890625,3.91503032,1.517578125,1.54844993,0.10418701171875,0.1313503853,MOFFusion_text
50,MOFFusion_uncond_unb+N528+E19,-0.205810546875,4.37890625,2.2155631656950865,0.055877685546875,0.0589491911,0.1756591796875,0.1899981541,0.572265625,0.1766357421875,0.0857561441,3.166015625,6.17585082,3.150390625,3.54688189,1.7587890625,1.76298589,0.10113525390625,0.131048963,MOFFusion_uncond
50,MOFFusion_h2_sxd+N356+E33,,2.767578125,0.550634696691055,0.065673828125,0.0455839822,0.1580810546875,0.174129028,,0.28857421875,0.3162333014,2.337890625,2.33866041,2.533203125,3.08006231,1.337890625,1.19377154,0.098388671875,0.1285450457999999,MOFFusion_h2
23,MOFFusion_h2_fns+N572+E123,,3.7734375,0.6389208748755062,0.07427978515625,0.0407895006,0.213623046875,0.1655448488,,0.26025390625,0.2591007045,2.578125,2.86927626,3.0625,3.43094538,1.455078125,1.56270628,0.121826171875,0.1247553482,MOFFusion_h2
22,MOFFusion_h2_fnr+N482+E16,,4.80078125,0.7973020944905173,0.068115234375,0.0354973412,0.164306640625,0.1578753038,,0.203125,0.1980119015,3.06640625,3.36257704,3.73828125,3.82340967,1.9169921875,1.8970864,0.12017822265625,0.1223779626,MOFFusion_h2
58,MOFFusion_text_lta+N68+E181,,,0.4398805078348804,,0.0525336372,,0.1741126898,,,0.3958181522,,2.30673957,,2.83477183,,1.32180862,,0.1215790526,MOFFusion_text
2,MOFFusion_text_lta+N233+E127,0.06768798828125,3.767578125,0.6586412065202878,0.07257080078125,0.0356987177,0.1629638671875,0.1554674256,-0.70654296875,0.280029296875,0.2360426649,3.041015625,3.10164401,3.04296875,3.94481689,1.759765625,1.65918341,0.127197265625,0.1197687079,MOFFusion_text
42,MOFFusion_text_lta+N650+E50,,,1.295714049220014,,0.0223967356,,0.137975169,,,0.1064858169,,3.84759408,,4.90123753,,1.21898843,,0.1155784334,MOFFusion_text
42,MOFFusion_h2_sms+N400+E50,,,2.1583499659158285,,0.0157753457,,0.1266713405,,,0.0586889719,,4.388271829999999,,5.746721539999999,,1.97576998,,0.1108959948,MOFFusion_h2
83,MOFFusion_h2_zfs+N254+E202,-0.126708984375,4.86328125,0.8672316385269183,0.07550048828125,0.0289103211,0.2469482421875,0.1328000287,0.7197265625,0.1820068359375,0.1531309777,3.66796875,3.30571894,4.015625,3.61455474,2.00390625,1.95199665,0.1844482421875,0.1038897075999999,MOFFusion_h2
50,MOFFusion_text_lta+N671+E149,0.267333984375,3.73828125,0.6179959097114872,0.0653076171875,0.0375220564,0.19091796875,0.1402205125,-0.7802734375,0.277099609375,0.2268955349,2.51953125,2.78769361,3.16796875,3.32311097,1.427734375,1.48650591,0.08575439453125,0.1026984561,MOFFusion_text
72,MOFFusion_h2_wix+N117+E208,,3.265625,0.3828549263080982,0.07159423828125,0.0474110878,0.181640625,0.1460814058,,0.339599609375,0.3815581197,2.162109375,1.92655032,2.361328125,2.35943668,1.1650390625,1.04468573,0.09112548828125,0.098670318,MOFFusion_h2
45,MOFFusion_text_lta+N651+E79,,,0.5731759966413749,,0.0318564494,,0.1271385152,,,0.2218140954,,2.75344013,,3.40198336,,1.63590242,,0.0952820658,MOFFusion_text
18,MOFFusion_h2_eta+N383+E116,,2.7421875,0.3327485380433511,0.067138671875,0.0503073221,0.206298828125,0.1438435492,,0.31982421875,0.4322890494,2.064453125,1.82106289,2.455078125,2.12128513,1.3818359375,1.03443502,0.0947265625,0.0935362271,MOFFusion_h2
45,MOFFusion_h2_sth+N482+E202,,5.08203125,0.7684342639905481,0.061767578125,0.0318341496,0.190673828125,0.1253405665,,0.181640625,0.1631116315,3.109375,3.1509521,3.2265625,3.37520819,1.91796875,1.73178683,0.10638427734375,0.0935064169,MOFFusion_h2
8,MOFFusion_text_lta+N242+E153,,,0.4662418821080764,,0.0374410684,,0.1282297616,,,0.2750284059,,2.29853709,,2.89943567,,1.33400001,,0.0907886931999999,MOFFusion_text
55,MOFFusion_text_lta+N671+E215,0.48388671875,3.29296875,0.3909552846378615,0.079345703125,0.0417588817,0.258056640625,0.1249194541,-1.400390625,0.29296875,0.3195236361,2.326171875,2.06585864,2.76953125,2.39180206,1.345703125,1.2394062,0.12445068359375,0.0831605724,MOFFusion_text
18,MOFFusion_text_lta+N482+E201,,,0.3996242619275612,,0.0382464921,,0.1193899933,,,0.2987556179,,2.16278509,,2.59605146,,1.23520697,,0.0811435012,MOFFusion_text
46,MOFFusion_text_lta+N671+E120,-0.53173828125,3.365234375,0.4314086063121864,0.07427978515625,0.033710372,0.2115478515625,0.1142840067,-1.068359375,0.294189453125,0.2649089634,2.322265625,2.12340984,2.46484375,2.65002722,1.369140625,1.2756625,0.09234619140625,0.0805736347,MOFFusion_text
40,MOFFusion_text_lta+N599+E95,-0.425537109375,3.736328125,0.5883808781668661,0.0672607421875,0.0284976893,0.178466796875,0.1085363092,-0.5810546875,0.25,0.1844660716,2.48828125,2.7785662,3.017578125,3.16612621,1.4599609375,1.40365895,0.09417724609375,0.0800386199,MOFFusion_text
